sample_id,split,label,audio_path,image_path,script_text,scene_id,rl_optimized_label
animated_SB_1139,train,not_optimized,animated\audio\audio_1139.wav,animated\images\img_1139.npy,Villain sets a trap,18,0
animated_SB_453,train,not_optimized,animated\audio\audio_453.wav,animated\images\img_453.npy,Villain sets a trap,7,0
animated_SB_851,train,not_optimized,animated\audio\audio_851.wav,animated\images\img_851.npy,Climactic battle scene,1,0
animated_SB_30,train,not_optimized,animated\audio\audio_30.wav,animated\images\img_30.npy,Dialogue between characters,9,0
animated_SB_706,train,not_optimized,animated\audio\audio_706.wav,animated\images\img_706.npy,Chase sequence begins,7,0
animated_SB_1119,train,not_optimized,animated\audio\audio_1119.wav,animated\images\img_1119.npy,Climactic battle scene,19,0
animated_SB_1174,train,not_optimized,animated\audio\audio_1174.wav,animated\images\img_1174.npy,Climactic battle scene,7,0
animated_SB_255,train,not_optimized,animated\audio\audio_255.wav,animated\images\img_255.npy,Hero enters the room,6,0
animated_SB_381,train,not_optimized,animated\audio\audio_381.wav,animated\images\img_381.npy,Hero enters the room,5,0
animated_SB_919,train,not_optimized,animated\audio\audio_919.wav,animated\images\img_919.npy,Chase sequence begins,11,0
animated_SB_299,train,not_optimized,animated\audio\audio_299.wav,animated\images\img_299.npy,Dialogue between characters,10,0
animated_SB_389,train,not_optimized,animated\audio\audio_389.wav,animated\images\img_389.npy,Climactic battle scene,18,0
animated_SB_1146,train,not_optimized,animated\audio\audio_1146.wav,animated\images\img_1146.npy,Hero enters the room,12,0
animated_SB_1175,train,not_optimized,animated\audio\audio_1175.wav,animated\images\img_1175.npy,Chase sequence begins,14,0
animated_SB_1068,train,not_optimized,animated\audio\audio_1068.wav,animated\images\img_1068.npy,Climactic battle scene,7,0
animated_SB_27,train,not_optimized,animated\audio\audio_27.wav,animated\images\img_27.npy,Villain sets a trap,5,0
animated_SB_1186,train,not_optimized,animated\audio\audio_1186.wav,animated\images\img_1186.npy,Hero enters the room,18,0
animated_SB_347,train,not_optimized,animated\audio\audio_347.wav,animated\images\img_347.npy,Dialogue between characters,15,0
animated_SB_292,train,not_optimized,animated\audio\audio_292.wav,animated\images\img_292.npy,Dialogue between characters,17,0
animated_SB_1008,train,not_optimized,animated\audio\audio_1008.wav,animated\images\img_1008.npy,Hero enters the room,8,0
animated_SB_883,train,not_optimized,animated\audio\audio_883.wav,animated\images\img_883.npy,Hero enters the room,1,0
animated_SB_858,train,not_optimized,animated\audio\audio_858.wav,animated\images\img_858.npy,Hero enters the room,8,0
animated_SB_978,train,not_optimized,animated\audio\audio_978.wav,animated\images\img_978.npy,Hero enters the room,19,0
animated_SB_688,train,not_optimized,animated\audio\audio_688.wav,animated\images\img_688.npy,Villain sets a trap,15,0
animated_SB_249,train,not_optimized,animated\audio\audio_249.wav,animated\images\img_249.npy,Villain sets a trap,1,0
animated_SB_147,train,not_optimized,animated\audio\audio_147.wav,animated\images\img_147.npy,Dialogue between characters,5,0
animated_SB_961,train,not_optimized,animated\audio\audio_961.wav,animated\images\img_961.npy,Hero enters the room,7,0
animated_SB_1028,train,not_optimized,animated\audio\audio_1028.wav,animated\images\img_1028.npy,Hero enters the room,16,0
animated_SB_819,train,not_optimized,animated\audio\audio_819.wav,animated\images\img_819.npy,Hero enters the room,14,0
animated_SB_36,train,not_optimized,animated\audio\audio_36.wav,animated\images\img_36.npy,Chase sequence begins,9,0
animated_SB_628,train,not_optimized,animated\audio\audio_628.wav,animated\images\img_628.npy,Hero enters the room,19,0
animated_SB_1183,train,not_optimized,animated\audio\audio_1183.wav,animated\images\img_1183.npy,Villain sets a trap,18,0
animated_SB_822,train,not_optimized,animated\audio\audio_822.wav,animated\images\img_822.npy,Chase sequence begins,2,0
animated_SB_668,train,not_optimized,animated\audio\audio_668.wav,animated\images\img_668.npy,Villain sets a trap,4,0
animated_SB_279,train,not_optimized,animated\audio\audio_279.wav,animated\images\img_279.npy,Villain sets a trap,1,0
animated_SB_827,train,not_optimized,animated\audio\audio_827.wav,animated\images\img_827.npy,Villain sets a trap,8,0
animated_SB_206,train,not_optimized,animated\audio\audio_206.wav,animated\images\img_206.npy,Dialogue between characters,16,0
animated_SB_229,train,not_optimized,animated\audio\audio_229.wav,animated\images\img_229.npy,Climactic battle scene,3,0
animated_SB_397,train,not_optimized,animated\audio\audio_397.wav,animated\images\img_397.npy,Chase sequence begins,3,0
animated_SB_43,train,not_optimized,animated\audio\audio_43.wav,animated\images\img_43.npy,Chase sequence begins,3,0
animated_SB_944,train,not_optimized,animated\audio\audio_944.wav,animated\images\img_944.npy,Villain sets a trap,15,0
animated_SB_588,train,not_optimized,animated\audio\audio_588.wav,animated\images\img_588.npy,Hero enters the room,17,0
animated_SB_1024,train,not_optimized,animated\audio\audio_1024.wav,animated\images\img_1024.npy,Climactic battle scene,16,0
animated_SB_1161,train,not_optimized,animated\audio\audio_1161.wav,animated\images\img_1161.npy,Villain sets a trap,16,0
animated_SB_1171,train,not_optimized,animated\audio\audio_1171.wav,animated\images\img_1171.npy,Villain sets a trap,16,0
animated_SB_142,train,not_optimized,animated\audio\audio_142.wav,animated\images\img_142.npy,Villain sets a trap,3,0
animated_SB_435,train,not_optimized,animated\audio\audio_435.wav,animated\images\img_435.npy,Climactic battle scene,5,0
animated_SB_177,train,not_optimized,animated\audio\audio_177.wav,animated\images\img_177.npy,Chase sequence begins,6,0
animated_SB_165,train,not_optimized,animated\audio\audio_165.wav,animated\images\img_165.npy,Climactic battle scene,2,0
animated_SB_161,train,not_optimized,animated\audio\audio_161.wav,animated\images\img_161.npy,Climactic battle scene,5,0
animated_SB_726,train,not_optimized,animated\audio\audio_726.wav,animated\images\img_726.npy,Dialogue between characters,4,0
animated_SB_1092,train,not_optimized,animated\audio\audio_1092.wav,animated\images\img_1092.npy,Hero enters the room,12,0
animated_SB_1143,train,not_optimized,animated\audio\audio_1143.wav,animated\images\img_1143.npy,Hero enters the room,19,0
animated_SB_1030,train,not_optimized,animated\audio\audio_1030.wav,animated\images\img_1030.npy,Hero enters the room,7,0
animated_SB_1001,train,not_optimized,animated\audio\audio_1001.wav,animated\images\img_1001.npy,Climactic battle scene,10,0
animated_SB_1138,train,not_optimized,animated\audio\audio_1138.wav,animated\images\img_1138.npy,Chase sequence begins,3,0
animated_SB_253,train,not_optimized,animated\audio\audio_253.wav,animated\images\img_253.npy,Villain sets a trap,14,0
animated_SB_1258,train,not_optimized,animated\audio\audio_1258.wav,animated\images\img_1258.npy,Dialogue between characters,8,0
animated_SB_502,train,not_optimized,animated\audio\audio_502.wav,animated\images\img_502.npy,Climactic battle scene,19,0
animated_SB_774,train,not_optimized,animated\audio\audio_774.wav,animated\images\img_774.npy,Hero enters the room,8,0
animated_SB_44,train,not_optimized,animated\audio\audio_44.wav,animated\images\img_44.npy,Climactic battle scene,14,0
animated_SB_626,train,not_optimized,animated\audio\audio_626.wav,animated\images\img_626.npy,Hero enters the room,2,0
animated_SB_186,train,not_optimized,animated\audio\audio_186.wav,animated\images\img_186.npy,Climactic battle scene,6,0
animated_SB_987,train,not_optimized,animated\audio\audio_987.wav,animated\images\img_987.npy,Chase sequence begins,19,0
animated_SB_278,train,not_optimized,animated\audio\audio_278.wav,animated\images\img_278.npy,Chase sequence begins,3,0
animated_SB_393,train,not_optimized,animated\audio\audio_393.wav,animated\images\img_393.npy,Hero enters the room,19,0
animated_SB_50,train,not_optimized,animated\audio\audio_50.wav,animated\images\img_50.npy,Villain sets a trap,2,0
animated_SB_901,train,not_optimized,animated\audio\audio_901.wav,animated\images\img_901.npy,Climactic battle scene,11,0
animated_SB_739,train,not_optimized,animated\audio\audio_739.wav,animated\images\img_739.npy,Climactic battle scene,17,0
animated_SB_408,train,not_optimized,animated\audio\audio_408.wav,animated\images\img_408.npy,Hero enters the room,19,0
animated_SB_531,train,not_optimized,animated\audio\audio_531.wav,animated\images\img_531.npy,Climactic battle scene,19,0
animated_SB_1214,train,not_optimized,animated\audio\audio_1214.wav,animated\images\img_1214.npy,Villain sets a trap,2,0
animated_SB_370,train,not_optimized,animated\audio\audio_370.wav,animated\images\img_370.npy,Chase sequence begins,7,0
animated_SB_766,train,not_optimized,animated\audio\audio_766.wav,animated\images\img_766.npy,Hero enters the room,15,0
animated_SB_768,train,not_optimized,animated\audio\audio_768.wav,animated\images\img_768.npy,Hero enters the room,17,0
animated_SB_372,train,not_optimized,animated\audio\audio_372.wav,animated\images\img_372.npy,Hero enters the room,1,0
animated_SB_479,train,not_optimized,animated\audio\audio_479.wav,animated\images\img_479.npy,Chase sequence begins,6,0
animated_SB_427,train,not_optimized,animated\audio\audio_427.wav,animated\images\img_427.npy,Dialogue between characters,3,0
animated_SB_1062,train,not_optimized,animated\audio\audio_1062.wav,animated\images\img_1062.npy,Climactic battle scene,17,0
animated_SB_199,train,not_optimized,animated\audio\audio_199.wav,animated\images\img_199.npy,Chase sequence begins,8,0
animated_SB_31,train,not_optimized,animated\audio\audio_31.wav,animated\images\img_31.npy,Dialogue between characters,7,0
animated_SB_1243,train,not_optimized,animated\audio\audio_1243.wav,animated\images\img_1243.npy,Villain sets a trap,15,0
animated_SB_1216,train,not_optimized,animated\audio\audio_1216.wav,animated\images\img_1216.npy,Villain sets a trap,13,0
animated_SB_353,train,not_optimized,animated\audio\audio_353.wav,animated\images\img_353.npy,Climactic battle scene,16,0
animated_SB_651,train,not_optimized,animated\audio\audio_651.wav,animated\images\img_651.npy,Chase sequence begins,5,0
animated_SB_93,train,not_optimized,animated\audio\audio_93.wav,animated\images\img_93.npy,Dialogue between characters,12,0
animated_SB_942,train,not_optimized,animated\audio\audio_942.wav,animated\images\img_942.npy,Hero enters the room,19,0
animated_SB_362,train,not_optimized,animated\audio\audio_362.wav,animated\images\img_362.npy,Villain sets a trap,5,0
animated_SB_682,train,not_optimized,animated\audio\audio_682.wav,animated\images\img_682.npy,Villain sets a trap,14,0
animated_SB_22,train,not_optimized,animated\audio\audio_22.wav,animated\images\img_22.npy,Hero enters the room,15,0
animated_SB_406,train,not_optimized,animated\audio\audio_406.wav,animated\images\img_406.npy,Chase sequence begins,14,0
animated_SB_1155,train,not_optimized,animated\audio\audio_1155.wav,animated\images\img_1155.npy,Chase sequence begins,12,0
animated_SB_873,train,not_optimized,animated\audio\audio_873.wav,animated\images\img_873.npy,Chase sequence begins,4,0
animated_SB_534,train,not_optimized,animated\audio\audio_534.wav,animated\images\img_534.npy,Hero enters the room,9,0
animated_SB_289,train,not_optimized,animated\audio\audio_289.wav,animated\images\img_289.npy,Hero enters the room,2,0
animated_SB_1207,train,not_optimized,animated\audio\audio_1207.wav,animated\images\img_1207.npy,Chase sequence begins,16,0
animated_SB_896,train,not_optimized,animated\audio\audio_896.wav,animated\images\img_896.npy,Villain sets a trap,2,0
animated_SB_870,train,not_optimized,animated\audio\audio_870.wav,animated\images\img_870.npy,Dialogue between characters,15,0
animated_SB_721,train,not_optimized,animated\audio\audio_721.wav,animated\images\img_721.npy,Climactic battle scene,17,0
animated_SB_307,train,not_optimized,animated\audio\audio_307.wav,animated\images\img_307.npy,Chase sequence begins,8,0
animated_SB_971,train,not_optimized,animated\audio\audio_971.wav,animated\images\img_971.npy,Dialogue between characters,17,0
animated_SB_853,train,not_optimized,animated\audio\audio_853.wav,animated\images\img_853.npy,Climactic battle scene,1,0
animated_SB_536,train,not_optimized,animated\audio\audio_536.wav,animated\images\img_536.npy,Climactic battle scene,14,0
animated_SB_192,train,not_optimized,animated\audio\audio_192.wav,animated\images\img_192.npy,Villain sets a trap,19,0
animated_SB_645,train,not_optimized,animated\audio\audio_645.wav,animated\images\img_645.npy,Climactic battle scene,5,0
animated_SB_490,train,not_optimized,animated\audio\audio_490.wav,animated\images\img_490.npy,Hero enters the room,6,0
animated_SB_800,train,not_optimized,animated\audio\audio_800.wav,animated\images\img_800.npy,Villain sets a trap,10,0
animated_SB_446,train,not_optimized,animated\audio\audio_446.wav,animated\images\img_446.npy,Chase sequence begins,17,0
animated_SB_592,train,not_optimized,animated\audio\audio_592.wav,animated\images\img_592.npy,Dialogue between characters,3,0
animated_SB_152,train,not_optimized,animated\audio\audio_152.wav,animated\images\img_152.npy,Climactic battle scene,15,0
animated_SB_523,train,not_optimized,animated\audio\audio_523.wav,animated\images\img_523.npy,Villain sets a trap,13,0
animated_SB_684,train,not_optimized,animated\audio\audio_684.wav,animated\images\img_684.npy,Dialogue between characters,17,0
animated_SB_928,train,not_optimized,animated\audio\audio_928.wav,animated\images\img_928.npy,Climactic battle scene,10,0
animated_SB_286,train,not_optimized,animated\audio\audio_286.wav,animated\images\img_286.npy,Villain sets a trap,14,0
animated_SB_1033,train,not_optimized,animated\audio\audio_1033.wav,animated\images\img_1033.npy,Villain sets a trap,1,0
animated_SB_275,train,not_optimized,animated\audio\audio_275.wav,animated\images\img_275.npy,Hero enters the room,5,0
animated_SB_342,train,not_optimized,animated\audio\audio_342.wav,animated\images\img_342.npy,Chase sequence begins,5,0
animated_SB_1047,train,not_optimized,animated\audio\audio_1047.wav,animated\images\img_1047.npy,Villain sets a trap,12,0
animated_SB_35,train,not_optimized,animated\audio\audio_35.wav,animated\images\img_35.npy,Hero enters the room,18,0
animated_SB_714,train,not_optimized,animated\audio\audio_714.wav,animated\images\img_714.npy,Chase sequence begins,6,0
animated_SB_1004,train,not_optimized,animated\audio\audio_1004.wav,animated\images\img_1004.npy,Dialogue between characters,2,0
animated_SB_861,train,not_optimized,animated\audio\audio_861.wav,animated\images\img_861.npy,Climactic battle scene,19,0
animated_SB_759,train,not_optimized,animated\audio\audio_759.wav,animated\images\img_759.npy,Chase sequence begins,8,0
animated_SB_364,train,not_optimized,animated\audio\audio_364.wav,animated\images\img_364.npy,Climactic battle scene,17,0
animated_SB_932,train,not_optimized,animated\audio\audio_932.wav,animated\images\img_932.npy,Hero enters the room,14,0
animated_SB_1018,train,not_optimized,animated\audio\audio_1018.wav,animated\images\img_1018.npy,Dialogue between characters,8,0
animated_SB_998,train,not_optimized,animated\audio\audio_998.wav,animated\images\img_998.npy,Chase sequence begins,7,0
animated_SB_1236,train,not_optimized,animated\audio\audio_1236.wav,animated\images\img_1236.npy,Dialogue between characters,18,0
animated_SB_1041,train,not_optimized,animated\audio\audio_1041.wav,animated\images\img_1041.npy,Hero enters the room,15,0
animated_SB_1129,train,not_optimized,animated\audio\audio_1129.wav,animated\images\img_1129.npy,Dialogue between characters,9,0
animated_SB_132,train,not_optimized,animated\audio\audio_132.wav,animated\images\img_132.npy,Villain sets a trap,13,0
animated_SB_639,train,not_optimized,animated\audio\audio_639.wav,animated\images\img_639.npy,Villain sets a trap,6,0
animated_SB_813,train,not_optimized,animated\audio\audio_813.wav,animated\images\img_813.npy,Chase sequence begins,6,0
animated_SB_647,train,not_optimized,animated\audio\audio_647.wav,animated\images\img_647.npy,Hero enters the room,10,0
animated_SB_1071,train,not_optimized,animated\audio\audio_1071.wav,animated\images\img_1071.npy,Chase sequence begins,14,0
animated_SB_916,train,not_optimized,animated\audio\audio_916.wav,animated\images\img_916.npy,Chase sequence begins,1,0
animated_SB_985,train,not_optimized,animated\audio\audio_985.wav,animated\images\img_985.npy,Dialogue between characters,1,0
animated_SB_849,train,not_optimized,animated\audio\audio_849.wav,animated\images\img_849.npy,Climactic battle scene,1,0
animated_SB_350,train,not_optimized,animated\audio\audio_350.wav,animated\images\img_350.npy,Climactic battle scene,8,0
animated_SB_594,train,not_optimized,animated\audio\audio_594.wav,animated\images\img_594.npy,Climactic battle scene,5,0
animated_SB_1224,train,not_optimized,animated\audio\audio_1224.wav,animated\images\img_1224.npy,Villain sets a trap,12,0
animated_SB_994,train,not_optimized,animated\audio\audio_994.wav,animated\images\img_994.npy,Chase sequence begins,19,0
animated_SB_1203,train,not_optimized,animated\audio\audio_1203.wav,animated\images\img_1203.npy,Hero enters the room,4,0
animated_SB_227,train,not_optimized,animated\audio\audio_227.wav,animated\images\img_227.npy,Villain sets a trap,6,0
animated_SB_107,train,not_optimized,animated\audio\audio_107.wav,animated\images\img_107.npy,Villain sets a trap,3,0
animated_SB_742,train,not_optimized,animated\audio\audio_742.wav,animated\images\img_742.npy,Chase sequence begins,10,0
animated_SB_144,train,not_optimized,animated\audio\audio_144.wav,animated\images\img_144.npy,Climactic battle scene,6,0
animated_SB_652,train,not_optimized,animated\audio\audio_652.wav,animated\images\img_652.npy,Villain sets a trap,2,0
animated_SB_333,train,not_optimized,animated\audio\audio_333.wav,animated\images\img_333.npy,Chase sequence begins,3,0
animated_SB_587,train,not_optimized,animated\audio\audio_587.wav,animated\images\img_587.npy,Chase sequence begins,6,0
animated_SB_521,train,not_optimized,animated\audio\audio_521.wav,animated\images\img_521.npy,Dialogue between characters,6,0
animated_SB_195,train,not_optimized,animated\audio\audio_195.wav,animated\images\img_195.npy,Hero enters the room,1,0
animated_SB_56,train,not_optimized,animated\audio\audio_56.wav,animated\images\img_56.npy,Villain sets a trap,2,0
animated_SB_349,train,not_optimized,animated\audio\audio_349.wav,animated\images\img_349.npy,Villain sets a trap,16,0
animated_SB_148,train,not_optimized,animated\audio\audio_148.wav,animated\images\img_148.npy,Dialogue between characters,1,0
animated_SB_1003,train,not_optimized,animated\audio\audio_1003.wav,animated\images\img_1003.npy,Hero enters the room,14,0
animated_SB_499,train,not_optimized,animated\audio\audio_499.wav,animated\images\img_499.npy,Climactic battle scene,4,0
animated_SB_983,train,not_optimized,animated\audio\audio_983.wav,animated\images\img_983.npy,Chase sequence begins,19,0
animated_SB_403,train,not_optimized,animated\audio\audio_403.wav,animated\images\img_403.npy,Dialogue between characters,12,0
animated_SB_1016,train,not_optimized,animated\audio\audio_1016.wav,animated\images\img_1016.npy,Hero enters the room,1,0
animated_SB_958,train,not_optimized,animated\audio\audio_958.wav,animated\images\img_958.npy,Hero enters the room,11,0
animated_SB_1085,train,not_optimized,animated\audio\audio_1085.wav,animated\images\img_1085.npy,Dialogue between characters,5,0
animated_SB_833,train,not_optimized,animated\audio\audio_833.wav,animated\images\img_833.npy,Chase sequence begins,3,0
animated_SB_240,train,not_optimized,animated\audio\audio_240.wav,animated\images\img_240.npy,Dialogue between characters,1,0
animated_SB_905,train,not_optimized,animated\audio\audio_905.wav,animated\images\img_905.npy,Hero enters the room,8,0
animated_SB_438,train,not_optimized,animated\audio\audio_438.wav,animated\images\img_438.npy,Dialogue between characters,13,0
animated_SB_312,train,not_optimized,animated\audio\audio_312.wav,animated\images\img_312.npy,Hero enters the room,19,0
animated_SB_1189,train,not_optimized,animated\audio\audio_1189.wav,animated\images\img_1189.npy,Climactic battle scene,17,0
animated_SB_935,train,not_optimized,animated\audio\audio_935.wav,animated\images\img_935.npy,Villain sets a trap,11,0
animated_SB_291,train,not_optimized,animated\audio\audio_291.wav,animated\images\img_291.npy,Villain sets a trap,2,0
animated_SB_700,train,not_optimized,animated\audio\audio_700.wav,animated\images\img_700.npy,Dialogue between characters,14,0
animated_SB_360,train,not_optimized,animated\audio\audio_360.wav,animated\images\img_360.npy,Villain sets a trap,5,0
animated_SB_40,train,not_optimized,animated\audio\audio_40.wav,animated\images\img_40.npy,Hero enters the room,12,0
animated_SB_60,train,not_optimized,animated\audio\audio_60.wav,animated\images\img_60.npy,Villain sets a trap,16,0
animated_SB_4,train,not_optimized,animated\audio\audio_4.wav,animated\images\img_4.npy,Dialogue between characters,8,0
animated_SB_297,train,not_optimized,animated\audio\audio_297.wav,animated\images\img_297.npy,Hero enters the room,16,0
animated_SB_622,train,not_optimized,animated\audio\audio_622.wav,animated\images\img_622.npy,Hero enters the room,15,0
animated_SB_365,train,not_optimized,animated\audio\audio_365.wav,animated\images\img_365.npy,Climactic battle scene,14,0
animated_SB_939,train,not_optimized,animated\audio\audio_939.wav,animated\images\img_939.npy,Chase sequence begins,14,0
animated_SB_245,train,not_optimized,animated\audio\audio_245.wav,animated\images\img_245.npy,Hero enters the room,8,0
animated_SB_847,train,not_optimized,animated\audio\audio_847.wav,animated\images\img_847.npy,Villain sets a trap,19,0
animated_SB_975,train,not_optimized,animated\audio\audio_975.wav,animated\images\img_975.npy,Villain sets a trap,1,0
animated_SB_1148,train,not_optimized,animated\audio\audio_1148.wav,animated\images\img_1148.npy,Chase sequence begins,5,0
animated_SB_1045,train,not_optimized,animated\audio\audio_1045.wav,animated\images\img_1045.npy,Dialogue between characters,2,0
animated_SB_70,train,not_optimized,animated\audio\audio_70.wav,animated\images\img_70.npy,Climactic battle scene,9,0
animated_SB_399,train,not_optimized,animated\audio\audio_399.wav,animated\images\img_399.npy,Hero enters the room,1,0
animated_SB_681,train,not_optimized,animated\audio\audio_681.wav,animated\images\img_681.npy,Chase sequence begins,12,0
animated_SB_1206,train,not_optimized,animated\audio\audio_1206.wav,animated\images\img_1206.npy,Climactic battle scene,1,0
animated_SB_26,train,not_optimized,animated\audio\audio_26.wav,animated\images\img_26.npy,Dialogue between characters,3,0
animated_SB_156,train,not_optimized,animated\audio\audio_156.wav,animated\images\img_156.npy,Dialogue between characters,12,0
animated_SB_434,train,not_optimized,animated\audio\audio_434.wav,animated\images\img_434.npy,Chase sequence begins,7,0
animated_SB_927,train,not_optimized,animated\audio\audio_927.wav,animated\images\img_927.npy,Villain sets a trap,8,0
animated_SB_487,train,not_optimized,animated\audio\audio_487.wav,animated\images\img_487.npy,Hero enters the room,2,0
animated_SB_49,train,not_optimized,animated\audio\audio_49.wav,animated\images\img_49.npy,Chase sequence begins,4,0
animated_SB_28,train,not_optimized,animated\audio\audio_28.wav,animated\images\img_28.npy,Villain sets a trap,19,0
animated_SB_654,train,not_optimized,animated\audio\audio_654.wav,animated\images\img_654.npy,Climactic battle scene,2,0
animated_SB_809,train,not_optimized,animated\audio\audio_809.wav,animated\images\img_809.npy,Hero enters the room,17,0
animated_SB_843,train,not_optimized,animated\audio\audio_843.wav,animated\images\img_843.npy,Climactic battle scene,8,0
animated_SB_897,train,not_optimized,animated\audio\audio_897.wav,animated\images\img_897.npy,Dialogue between characters,19,0
animated_SB_540,train,not_optimized,animated\audio\audio_540.wav,animated\images\img_540.npy,Chase sequence begins,16,0
animated_SB_272,train,not_optimized,animated\audio\audio_272.wav,animated\images\img_272.npy,Dialogue between characters,6,0
animated_SB_553,train,not_optimized,animated\audio\audio_553.wav,animated\images\img_553.npy,Dialogue between characters,9,0
animated_SB_445,train,not_optimized,animated\audio\audio_445.wav,animated\images\img_445.npy,Villain sets a trap,19,0
animated_SB_339,train,not_optimized,animated\audio\audio_339.wav,animated\images\img_339.npy,Villain sets a trap,19,0
animated_SB_1126,train,not_optimized,animated\audio\audio_1126.wav,animated\images\img_1126.npy,Villain sets a trap,9,0
animated_SB_121,train,not_optimized,animated\audio\audio_121.wav,animated\images\img_121.npy,Dialogue between characters,5,0
animated_SB_188,train,not_optimized,animated\audio\audio_188.wav,animated\images\img_188.npy,Dialogue between characters,3,0
animated_SB_371,train,not_optimized,animated\audio\audio_371.wav,animated\images\img_371.npy,Villain sets a trap,4,0
animated_SB_1039,train,not_optimized,animated\audio\audio_1039.wav,animated\images\img_1039.npy,Villain sets a trap,2,0
animated_SB_824,train,not_optimized,animated\audio\audio_824.wav,animated\images\img_824.npy,Chase sequence begins,3,0
animated_SB_159,train,not_optimized,animated\audio\audio_159.wav,animated\images\img_159.npy,Villain sets a trap,3,0
animated_SB_155,train,not_optimized,animated\audio\audio_155.wav,animated\images\img_155.npy,Dialogue between characters,17,0
animated_SB_85,train,not_optimized,animated\audio\audio_85.wav,animated\images\img_85.npy,Hero enters the room,1,0
animated_SB_1058,train,not_optimized,animated\audio\audio_1058.wav,animated\images\img_1058.npy,Villain sets a trap,14,0
